Username,Tweet ID,Tweet,Favourites Count,Retweet Count
cmclymer,1468005580686123012,"I'm sorry, let me attempt to summarize this: VP Kamala Harris is now being criticized for using wired headphones in… https://t.co/ukNp2geFVR",14582,1626
zeynep,1468014055747207174,"Phobia??? Bluetooth is a well-known security risk—including the possibility of escalating and executing code—well,… https://t.co/n4BxAsrY3Q",5212,831
DublinAirport,1467865587053473802,"Our colleagues at Platinum Services have very kindly gifted us some @onesonicaudio goodies to giveaway

Prize inclu… https://t.co/zQM9tkzzUV",538,1298
BriannaWu,1468020723134472202,She’s right. You’re wrong. Bluetooth has been hackable for years - look up “bluebagging.” You can eavesdrop and eve… https://t.co/nlesIsBrBR,2598,471
cmclymer,1468092197497151490,What a surprise that the folks who were obsessed with the national security implications of Hillary Clinton's email… https://t.co/C3gFijovTq,3407,297
wexler,1468058505840103425,"The political side of my feed is like, “LOL Bluetooth-phobia, how crazy!!!” and the tech side of my feed is like, “… https://t.co/WHJu25qXJe",1163,213
BriannaWu,1468050472896503808,"Kamala Harris wasn’t even in my top 5 choices in the primary.

But, let’s be clear. Barraging her with media hit pi… https://t.co/6BzZQ6KPxC",1612,213
AlexThomp,1467995231014559744,"NEW: Kamala Harris has long felt that Bluetooth headphones are a security risk. 
So, she insists on using wired one… https://t.co/kDyj4pJj3I",1396,210
BridgetMarie,1468027209793384450,"Look at this BS framing! 

""VP has long """"felt"""" Bluetooth headphones are a security risk. The KNOWN risk w/ Blueto… https://t.co/FjVn88uGqt",401,84
MollyMcKew,1468070403843182600,"Leaving the Bluetooth on your phone on is a pretty easy to have it hacked, especially if you are a target for, say,… https://t.co/gmNlGouIcg",578,94
BeauTFC,1468118154488467461,"In light of the hard hitting journalism about VP Harris *checks notes* using wired headphones, I'd point out that e… https://t.co/wmDOJaqVga",1319,135
ByronTau,1468005630862630920,"For those interested, the ability to do tracking using their Bluetooth devices as proxies is not a hypothetical thi… https://t.co/p5KXGbPbi3",1092,168
themattmcd,1468087014281003009,@atrupar Imagine if she did use Bluetooth headphones: “Kamala Harris drops $225 on AirPod Pro earbuds!”,1792,123
ByronTau,1468005632162816002,This tech company Signal Frame embedded itself in lots of consumer mobile apps by partnering with a large location… https://t.co/hSbxmiVRKD,466,102
KendraWrites,1468195671908003853,"A single call to a security expert would tell you that bluetooth headphones are a security risk. 

The United State… https://t.co/G1WSX1ZnS4",294,48
steelers,1468216936815280128,".@CamHeyward is our nominee for the Walter Payton NFL Man of the Year, presented by @Nationwide.

RETWEET &amp; reply w… https://t.co/bEYeYjcC1R",517,167
WashingtonNFL,1468216395238285319,"Jon Allen's story is an inspiration to all of us

We are honored to nominate him as our Walter Payton NFL Man of th… https://t.co/2X2K5dJDWD",312,82
Ravens,1468215417596485639,"We're so proud to announce @BSBoze as our @Nationwide Walter Payton Man of the Year nominee 💜

#WPMOYChallenge |… https://t.co/O0349RS4zI",632,108
Panthers,1468223043361140737,"Add this to your list of things to RT 💫

#WPMOYChallenge Moore https://t.co/u3l5zg9IN0",36,50
ChicagoBears,1468216973872058372,"A well-deserved honor. 👏 

For the second year in a row, @TheJimmyGraham is our Walter Payton Man of the Year nomin… https://t.co/o7n6Yy3Mf6",344,37
Saints,1468215972192567300,"Congrats to @CamJordan94: the #Saints 2021 Man of the Year, making him the club nominee for the NFL Walter Payton M… https://t.co/gafJuHVcaw",217,43
Bengals,1468216844175564801,"A leader on AND off the field. 👏 RT to congratulate our 2021 Walter Payton Man of the Year nominee, @Sam_Hubbard_!… https://t.co/WM1lQYCM8k",224,57
Bengals,1468216319300587522,We're proud to announce Cincinnati's own @Sam_Hubbard_ as our 2021 Walter Payton Man of the Year nominee!… https://t.co/A9CdAF7O8H,464,54
Colts,1468218888076750851,"An invaluable member of our team and our community.

#WPMOYChallenge x Moore II https://t.co/cdizvDYq9G",217,46
Ravens,1468216391434051588,"Coach Harbaugh announces the news to the team 💜

#WPMOYChallenge | @BSBoze | @Nationwide https://t.co/ukyo6nLSkU",318,58
chargers,1468218749023133699,"protector at heart.

#WPMOYChallenge + Linsley https://t.co/ztDa9i1DqJ",101,54
packers,1468223052270157824,"Making an impact on &amp; off the field. 

RETWEET to congratulate @Showtyme_33 on being our #WPMOY nominee &amp; help him… https://t.co/awkFLkOZUq",28,23
AZCardinals,1468218190412931072,"We're proud to announce @KelvinBeachumJr as our 2021 Walter Payton Man of the Year nominee.

Congratulations, Kelvi… https://t.co/rEo41mTISL",241,38
WashingtonNFL,1468220333765558273,"Congrats, @jonallen93_ our 2021 nominee for Walter Payton Man of the Year‼️

#WPMOYChallenge Jon Allen",143,32
OhioStateFB,1468221845040406528,"A leader on and off the field 💯

Congrats @Sam_Hubbard_ for being named a 2021 Walter Payton Man of the Year nomine… https://t.co/ArQdY3NF8N",71,11
AKasingye,1468073055218028544,Good morning #UOT. Tuesday blessings to Y’all🙏🏾,1092,77
matthewjdowd,1467893667075665929,Come join us in Collin County in McKinney next Tuesday as part of our common sense with common decency for the comm… https://t.co/yDYJM186cp,127,59
duranduran,1467881732783366149,"UK Tune in alert: Simon will be a live interview guest on @GMB (Good Morning Britain) on Tuesday 7 December 
 
Live… https://t.co/OFHgYB7NFs",391,37
ByPatForde,1467928431656673283,"Jay Norvell will be announced as next coach at Colorado State Tuesday, per sources. Comes from within the Mountain… https://t.co/BF0tGCDvOf",107,21
njpwglobal,1467931850161143812,"It's Tuesday, December 7 in Japan!

#onthisday in 2014, the Meiyu Tag team of Katsuyori Shibata and Hirooki Goto de… https://t.co/Y0kXGSN2na",101,20
WindyWilson88,1467812764106248192,"☃️SNOW ALERT TUESDAY SCOTLAND☃️
 
Windy says the finer details are still a bit fuzzy so I'll be back later on, but… https://t.co/VDXDShPty7",137,17
ZaknafeinDC,1468189108400967683,"🌞Good morning! Here's your Tuesday update:

— Yes, Bluetooth is a security risk
— The Grinch is thick as hell
— Rus… https://t.co/ASjnBc8Gfr",34,11
JimmyKimmelLive,1467534810625175556,This is going to be so good. #TheFactsOfLife &amp; #DiffrentStrokes TUESDAY Dec 7th at 8PM on @ABCNetwork!… https://t.co/dy8aaaJfMA,163,21
antanddec,1465356677914533895,📢 Good news!! Our amazing Production team have been working round the clock to get the #ImACeleb site back up and r… https://t.co/fVZ0MheXtT,7102,373
C4Ciaran,1465634449454940160,"🚨GOOD NEWS ALERT🚨

To brighten your Tuesday amid the Omicron gloom.. exclusive new footage of a baby beaver’s first… https://t.co/4pN6MBdNCG",1774,368
mishacollins,1465821218536185857,"I know it’s late in the day on #GivingTuesday, but me &amp; the Padaleckis have conspired to spur your charitable impul… https://t.co/fD040WF2pD",3896,578
JillTaylorCity,1468185091084013572,"Good Tuesday morning! #Ottawa TheValley #SmithsFalls 
It’s a quieter weather day today BUT it’s a cold one! Dress f… https://t.co/ca5tC79trz",10,6
thesefootytimes,1465595201960001540,"To celebrate hitting 60,000 followers on Twitter, we've got an epic giveaway: win a coppy of every new magazine we… https://t.co/tRVO4oWFus",123,273
mmpadellan,1465692219382407172,"Good morning and Happy Tuesday to everyone who stands against hateful, Islamophobic, seditious members of Congress… https://t.co/OlEOAwwbaP",4055,492
JonahDispatch,1468203260221743108,"“Good morning everyone, especially the dogs in the mirror universe. It’s Tuesday in this dimension. We are in somep… https://t.co/m7JN30dtzI",437,5
PhilArballo,1467996021263413255,BREAKING: Devin Nunes is fleeing from Congress at the end of the month because he would rather cash out and take a… https://t.co/XYnyveMB4h,18703,3988
MeidasTouch,1467985869634105345,Devin Nunes will be retiring from Congress at the end of this month to become CEO of Trump's 'media company' that i… https://t.co/vnUyScxrk2,14398,1952
funder,1467979045254094849,Breaking: GOP Rep Devin Nunes announced his plan to leave Congress in less than a month. Good riddance.,34098,3306
JacquiHeinrich,1467972568116301831,NEW: Rep Devin Nunes is retiring.  I'm told he “got a job offer that he can’t refuse” --- CEO of a new Trump media org.,23543,3707
DineshDSouza,1467991880709382150,"BREAKING: Rep. Devin Nunes to become CEO of Trump's media group
https://t.co/2yzgvUg0BR",4772,662
joncoopertweets,1467982522885804037,Hmm… anyone want to guess why Devin Nunes decided to ABRUPTLY RETIRE from the House by the end of this month?? 🧐,10812,1392
mmpadellan,1467985491236737024,"Devin Nunes will not be running for reelection in 2022.

He would have been udderly defeated.
I am thoroughly amooosed.",7065,671
KatieHill4CA,1468014573760524290,"Having been in closed door hearings with him leading up to the first impeachment, I can tell you definitively: Devi… https://t.co/ljVTWjomXW",17413,2056
briantylercohen,1467973447279992835,"BREAKING: Devin Nunes is retiring from Congress, will not run for re-election.",33793,2233
kylegriffin1,1467974636289675264,Breaking: Republican Devin Nunes is retiring from Congress after 2022 — he will not seek re-election. https://t.co/h6mQFTu86E,8251,1459
JakeSherman,1467971604017815557,"Devin Nunes is retiring. He was in line to be Ways and Means chairman in the House Republican majority 

He is “rum… https://t.co/mRlEcPVevN",3391,749
PaulRudnickNY,1467994156601643014,Devin Nunes just announced he's leaving Congress to become CEO of Trump's latest doomed media company. Nunes had al… https://t.co/yYc7H9ws53,3250,402
KamVTV,1467983430885552133,"BREAKING: Devin Nunes to Leave Congress to Join President Trump’s TMTG  

Congressman Devin G. Nunes, Ranking Membe… https://t.co/Q5gY2MNGuE",1436,274
GOPLeader,1467994697108967425,Devin Nunes is an American patriot and his service in Congress will be remembered by his singular goal of the searc… https://t.co/eNd7Q7pulc,2971,495
ProjectLincoln,1467980243784847370,"Devin Nunes already spends his days pushing lies and kissing Trump’s a**, he might as well get paid for it. https://t.co/MCfdQzSzCH",5975,729
BillClinton,1467573698597113866,"Bob Dole dedicated his entire life to serving the American people, from his heroism in World War II to the 35 years… https://t.co/zOschOocoG",11518,1132
pennstatetom,1467548258432176138,"""I wouldn't want Danny to see me in a wheelchair,"" said former Sen. Bob Dole as he was assisted to the casket of th… https://t.co/t19aT910tb",7995,858
